"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 14 18:36:21 GMT 2024","Fri Jun 14 18:36:21 GMT 2024","9","tests.api","test_get_users","","","","test_get_users_no_auth_header",""
"passed","Fri Jun 14 18:36:33 GMT 2024","Fri Jun 14 18:36:34 GMT 2024","678","tests.ui","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 18:36:19 GMT 2024","Fri Jun 14 18:36:19 GMT 2024","720","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Fri Jun 14 18:36:19 GMT 2024","Fri Jun 14 18:36:20 GMT 2024","312","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Fri Jun 14 18:36:28 GMT 2024","Fri Jun 14 18:36:30 GMT 2024","2495","tests.ui","test_edit","","","","test_edit",""
"passed","Fri Jun 14 18:36:20 GMT 2024","Fri Jun 14 18:36:20 GMT 2024","11","tests.api","test_api_signup","","","","test_should_return_400_if_username_too_short",""
"passed","Fri Jun 14 18:36:21 GMT 2024","Fri Jun 14 18:36:21 GMT 2024","9","tests.api","test_get_users","","","","test_failed_get_users_with_bad_token",""
"passed","Fri Jun 14 18:36:34 GMT 2024","Fri Jun 14 18:36:35 GMT 2024","853","tests.ui","test_register","","","","test_successful_registration_and_login",""
"passed","Fri Jun 14 18:36:32 GMT 2024","Fri Jun 14 18:36:33 GMT 2024","687","tests.ui","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 18:36:20 GMT 2024","Fri Jun 14 18:36:20 GMT 2024","343","tests.api","test_api_signup","","","","test_successful_api_signup",""
"passed","Fri Jun 14 18:36:36 GMT 2024","Fri Jun 14 18:36:36 GMT 2024","50","tests.ui","test_register","","","","test_cancel_registration_opens_login_page",""
"passed","Fri Jun 14 18:36:19 GMT 2024","Fri Jun 14 18:36:19 GMT 2024","15","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Fri Jun 14 18:36:22 GMT 2024","Fri Jun 14 18:36:23 GMT 2024","753","tests","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 18:36:26 GMT 2024","Fri Jun 14 18:36:26 GMT 2024","672","tests.ui","test_edit","","","","test_autocomplete",""
"passed","Fri Jun 14 18:36:20 GMT 2024","Fri Jun 14 18:36:20 GMT 2024","302","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Fri Jun 14 18:36:20 GMT 2024","Fri Jun 14 18:36:20 GMT 2024","19","tests.api","test_api_signup","","","","test_should_return_400_if_email_invalid",""
"passed","Fri Jun 14 18:36:24 GMT 2024","Fri Jun 14 18:36:24 GMT 2024","683","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 18:36:20 GMT 2024","Fri Jun 14 18:36:20 GMT 2024","9","tests.api","test_api_signup","","","","test_should_return_400_if_password_too_short",""
"passed","Fri Jun 14 18:36:21 GMT 2024","Fri Jun 14 18:36:21 GMT 2024","49","tests.api","test_get_users","","","","test_successful_get_users",""
"passed","Fri Jun 14 18:36:31 GMT 2024","Fri Jun 14 18:36:31 GMT 2024","48","tests.ui","test_home","","","","test_successful_login",""
