"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 14 19:03:26 GMT 2024","Fri Jun 14 19:03:26 GMT 2024","11","tests.api","test_get_users","","","","test_failed_get_users_with_bad_token",""
"passed","Fri Jun 14 19:03:37 GMT 2024","Fri Jun 14 19:03:38 GMT 2024","695","tests.ui","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 19:03:27 GMT 2024","Fri Jun 14 19:03:28 GMT 2024","718","tests","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 19:03:24 GMT 2024","Fri Jun 14 19:03:24 GMT 2024","332","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Fri Jun 14 19:03:38 GMT 2024","Fri Jun 14 19:03:39 GMT 2024","698","tests.ui","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 19:03:40 GMT 2024","Fri Jun 14 19:03:40 GMT 2024","881","tests.ui","test_register","","","","test_successful_registration_and_login",""
"passed","Fri Jun 14 19:03:28 GMT 2024","Fri Jun 14 19:03:29 GMT 2024","702","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 19:03:24 GMT 2024","Fri Jun 14 19:03:25 GMT 2024","311","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Fri Jun 14 19:03:25 GMT 2024","Fri Jun 14 19:03:25 GMT 2024","13","tests.api","test_api_signup","","","","test_should_return_400_if_password_too_short",""
"passed","Fri Jun 14 19:03:25 GMT 2024","Fri Jun 14 19:03:25 GMT 2024","25","tests.api","test_api_signup","","","","test_should_return_400_if_email_invalid",""
"passed","Fri Jun 14 19:03:36 GMT 2024","Fri Jun 14 19:03:36 GMT 2024","49","tests.ui","test_home","","","","test_successful_login",""
"passed","Fri Jun 14 19:03:41 GMT 2024","Fri Jun 14 19:03:41 GMT 2024","54","tests.ui","test_register","","","","test_cancel_registration_opens_login_page",""
"passed","Fri Jun 14 19:03:30 GMT 2024","Fri Jun 14 19:03:31 GMT 2024","679","tests.ui","test_edit","","","","test_autocomplete",""
"passed","Fri Jun 14 19:03:33 GMT 2024","Fri Jun 14 19:03:35 GMT 2024","2544","tests.ui","test_edit","","","","test_edit",""
"passed","Fri Jun 14 19:03:24 GMT 2024","Fri Jun 14 19:03:24 GMT 2024","20","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Fri Jun 14 19:03:26 GMT 2024","Fri Jun 14 19:03:26 GMT 2024","58","tests.api","test_get_users","","","","test_successful_get_users",""
"passed","Fri Jun 14 19:03:23 GMT 2024","Fri Jun 14 19:03:24 GMT 2024","779","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Fri Jun 14 19:03:26 GMT 2024","Fri Jun 14 19:03:26 GMT 2024","12","tests.api","test_get_users","","","","test_get_users_no_auth_header",""
"passed","Fri Jun 14 19:03:25 GMT 2024","Fri Jun 14 19:03:25 GMT 2024","348","tests.api","test_api_signup","","","","test_successful_api_signup",""
"passed","Fri Jun 14 19:03:25 GMT 2024","Fri Jun 14 19:03:25 GMT 2024","13","tests.api","test_api_signup","","","","test_should_return_400_if_username_too_short",""
