"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 14 18:57:17 GMT 2024","Fri Jun 14 18:57:17 GMT 2024","19","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Fri Jun 14 18:57:16 GMT 2024","Fri Jun 14 18:57:17 GMT 2024","787","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Fri Jun 14 18:57:23 GMT 2024","Fri Jun 14 18:57:24 GMT 2024","678","tests.ui","test_edit","","","","test_autocomplete",""
"passed","Fri Jun 14 18:57:19 GMT 2024","Fri Jun 14 18:57:19 GMT 2024","45","tests.api","test_get_users","","","","test_successful_get_users",""
"passed","Fri Jun 14 18:57:21 GMT 2024","Fri Jun 14 18:57:22 GMT 2024","684","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 18:57:18 GMT 2024","Fri Jun 14 18:57:18 GMT 2024","11","tests.api","test_api_signup","","","","test_should_return_400_if_password_too_short",""
"passed","Fri Jun 14 18:57:31 GMT 2024","Fri Jun 14 18:57:32 GMT 2024","682","tests.ui","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 18:57:25 GMT 2024","Fri Jun 14 18:57:28 GMT 2024","2501","tests.ui","test_edit","","","","test_edit",""
"passed","Fri Jun 14 18:57:19 GMT 2024","Fri Jun 14 18:57:19 GMT 2024","8","tests.api","test_get_users","","","","test_get_users_no_auth_header",""
"passed","Fri Jun 14 18:57:18 GMT 2024","Fri Jun 14 18:57:18 GMT 2024","14","tests.api","test_api_signup","","","","test_should_return_400_if_username_too_short",""
"passed","Fri Jun 14 18:57:29 GMT 2024","Fri Jun 14 18:57:29 GMT 2024","44","tests.ui","test_home","","","","test_successful_login",""
"passed","Fri Jun 14 18:57:18 GMT 2024","Fri Jun 14 18:57:18 GMT 2024","25","tests.api","test_api_signup","","","","test_should_return_400_if_email_invalid",""
"passed","Fri Jun 14 18:57:18 GMT 2024","Fri Jun 14 18:57:18 GMT 2024","356","tests.api","test_api_signup","","","","test_successful_api_signup",""
"passed","Fri Jun 14 18:57:32 GMT 2024","Fri Jun 14 18:57:33 GMT 2024","869","tests.ui","test_register","","","","test_successful_registration_and_login",""
"passed","Fri Jun 14 18:57:20 GMT 2024","Fri Jun 14 18:57:21 GMT 2024","703","tests","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 18:57:19 GMT 2024","Fri Jun 14 18:57:19 GMT 2024","9","tests.api","test_get_users","","","","test_failed_get_users_with_bad_token",""
"passed","Fri Jun 14 18:57:34 GMT 2024","Fri Jun 14 18:57:34 GMT 2024","49","tests.ui","test_register","","","","test_cancel_registration_opens_login_page",""
"passed","Fri Jun 14 18:57:30 GMT 2024","Fri Jun 14 18:57:30 GMT 2024","686","tests.ui","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 18:57:17 GMT 2024","Fri Jun 14 18:57:18 GMT 2024","302","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Fri Jun 14 18:57:17 GMT 2024","Fri Jun 14 18:57:17 GMT 2024","320","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
