"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 14 18:45:37 GMT 2024","Fri Jun 14 18:45:37 GMT 2024","13","tests.api","test_api_signup","","","","test_should_return_400_if_password_too_short",""
"passed","Fri Jun 14 18:45:43 GMT 2024","Fri Jun 14 18:45:46 GMT 2024","2509","tests.ui","test_edit","","","","test_edit",""
"passed","Fri Jun 14 18:45:39 GMT 2024","Fri Jun 14 18:45:39 GMT 2024","702","tests","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 18:45:42 GMT 2024","Fri Jun 14 18:45:42 GMT 2024","174","tests.ui","test_edit","","","","test_autocomplete",""
"passed","Fri Jun 14 18:45:49 GMT 2024","Fri Jun 14 18:45:50 GMT 2024","690","tests.ui","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 18:45:37 GMT 2024","Fri Jun 14 18:45:37 GMT 2024","8","tests.api","test_get_users","","","","test_failed_get_users_with_bad_token",""
"passed","Fri Jun 14 18:45:37 GMT 2024","Fri Jun 14 18:45:37 GMT 2024","23","tests.api","test_api_signup","","","","test_should_return_400_if_email_invalid",""
"passed","Fri Jun 14 18:45:36 GMT 2024","Fri Jun 14 18:45:37 GMT 2024","347","tests.api","test_api_signup","","","","test_successful_api_signup",""
"passed","Fri Jun 14 18:45:40 GMT 2024","Fri Jun 14 18:45:41 GMT 2024","686","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 18:45:36 GMT 2024","Fri Jun 14 18:45:36 GMT 2024","302","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Fri Jun 14 18:45:37 GMT 2024","Fri Jun 14 18:45:37 GMT 2024","20","tests.api","test_api_signup","","","","test_should_return_400_if_username_too_short",""
"passed","Fri Jun 14 18:45:48 GMT 2024","Fri Jun 14 18:45:49 GMT 2024","691","tests.ui","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 18:45:37 GMT 2024","Fri Jun 14 18:45:37 GMT 2024","53","tests.api","test_get_users","","","","test_successful_get_users",""
"passed","Fri Jun 14 18:45:37 GMT 2024","Fri Jun 14 18:45:37 GMT 2024","9","tests.api","test_get_users","","","","test_get_users_no_auth_header",""
"passed","Fri Jun 14 18:45:35 GMT 2024","Fri Jun 14 18:45:36 GMT 2024","770","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Fri Jun 14 18:45:50 GMT 2024","Fri Jun 14 18:45:51 GMT 2024","869","tests.ui","test_register","","","","test_successful_registration_and_login",""
"passed","Fri Jun 14 18:45:36 GMT 2024","Fri Jun 14 18:45:36 GMT 2024","315","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Fri Jun 14 18:45:36 GMT 2024","Fri Jun 14 18:45:36 GMT 2024","28","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Fri Jun 14 18:45:52 GMT 2024","Fri Jun 14 18:45:52 GMT 2024","51","tests.ui","test_register","","","","test_cancel_registration_opens_login_page",""
"passed","Fri Jun 14 18:45:47 GMT 2024","Fri Jun 14 18:45:47 GMT 2024","43","tests.ui","test_home","","","","test_successful_login",""
