"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 14 19:05:24 GMT 2024","Fri Jun 14 19:05:24 GMT 2024","683","tests.ui","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 19:05:09 GMT 2024","Fri Jun 14 19:05:10 GMT 2024","785","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Fri Jun 14 19:05:14 GMT 2024","Fri Jun 14 19:05:15 GMT 2024","684","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 19:05:26 GMT 2024","Fri Jun 14 19:05:26 GMT 2024","49","tests.ui","test_register","","","","test_cancel_registration_opens_login_page",""
"passed","Fri Jun 14 19:05:10 GMT 2024","Fri Jun 14 19:05:10 GMT 2024","18","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Fri Jun 14 19:05:11 GMT 2024","Fri Jun 14 19:05:12 GMT 2024","44","tests.api","test_get_users","","","","test_successful_get_users",""
"passed","Fri Jun 14 19:05:25 GMT 2024","Fri Jun 14 19:05:26 GMT 2024","862","tests.ui","test_register","","","","test_successful_registration_and_login",""
"passed","Fri Jun 14 19:05:16 GMT 2024","Fri Jun 14 19:05:17 GMT 2024","666","tests.ui","test_edit","","","","test_autocomplete",""
"passed","Fri Jun 14 19:05:10 GMT 2024","Fri Jun 14 19:05:10 GMT 2024","327","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Fri Jun 14 19:05:12 GMT 2024","Fri Jun 14 19:05:12 GMT 2024","10","tests.api","test_get_users","","","","test_get_users_no_auth_header",""
"passed","Fri Jun 14 19:05:18 GMT 2024","Fri Jun 14 19:05:21 GMT 2024","2508","tests.ui","test_edit","","","","test_edit",""
"passed","Fri Jun 14 19:05:12 GMT 2024","Fri Jun 14 19:05:12 GMT 2024","9","tests.api","test_get_users","","","","test_failed_get_users_with_bad_token",""
"passed","Fri Jun 14 19:05:10 GMT 2024","Fri Jun 14 19:05:10 GMT 2024","302","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Fri Jun 14 19:05:11 GMT 2024","Fri Jun 14 19:05:11 GMT 2024","12","tests.api","test_api_signup","","","","test_should_return_400_if_password_too_short",""
"passed","Fri Jun 14 19:05:22 GMT 2024","Fri Jun 14 19:05:22 GMT 2024","52","tests.ui","test_home","","","","test_successful_login",""
"passed","Fri Jun 14 19:05:11 GMT 2024","Fri Jun 14 19:05:11 GMT 2024","12","tests.api","test_api_signup","","","","test_should_return_400_if_username_too_short",""
"passed","Fri Jun 14 19:05:10 GMT 2024","Fri Jun 14 19:05:11 GMT 2024","353","tests.api","test_api_signup","","","","test_successful_api_signup",""
"passed","Fri Jun 14 19:05:22 GMT 2024","Fri Jun 14 19:05:23 GMT 2024","686","tests.ui","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 19:05:11 GMT 2024","Fri Jun 14 19:05:11 GMT 2024","22","tests.api","test_api_signup","","","","test_should_return_400_if_email_invalid",""
"passed","Fri Jun 14 19:05:13 GMT 2024","Fri Jun 14 19:05:14 GMT 2024","707","tests","test_login","","","","test_successful_login",""
