"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 16 16:46:54 GMT 2024","Sun Jun 16 16:46:54 GMT 2024","21","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Sun Jun 16 16:47:23 GMT 2024","Sun Jun 16 16:47:23 GMT 2024","50","tests.ui","test_register","","","","test_cancel_registration_opens_login_page",""
"passed","Sun Jun 16 16:46:55 GMT 2024","Sun Jun 16 16:46:55 GMT 2024","356","tests.api","test_api_signup","","","","test_successful_api_signup",""
"passed","Sun Jun 16 16:47:12 GMT 2024","Sun Jun 16 16:47:13 GMT 2024","752","tests.ui","test_edit","","","","test_autocomplete",""
"passed","Sun Jun 16 16:47:14 GMT 2024","Sun Jun 16 16:47:17 GMT 2024","2515","tests.ui","test_edit","","","","test_edit",""
"passed","Sun Jun 16 16:46:56 GMT 2024","Sun Jun 16 16:46:56 GMT 2024","9","tests.api","test_get_users","","","","test_failed_get_users_with_bad_token",""
"passed","Sun Jun 16 16:46:56 GMT 2024","Sun Jun 16 16:46:56 GMT 2024","11","tests.api","test_api_signup","","","","test_should_return_400_if_missing_roles",""
"passed","Sun Jun 16 16:46:54 GMT 2024","Sun Jun 16 16:46:55 GMT 2024","314","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Sun Jun 16 16:46:56 GMT 2024","Sun Jun 16 16:46:56 GMT 2024","23","tests.api","test_api_signup","","","","test_should_return_400_if_email_invalid",""
"passed","Sun Jun 16 16:46:55 GMT 2024","Sun Jun 16 16:46:55 GMT 2024","14","tests.api","test_api_signup","","","","test_should_return_400_if_username_too_short",""
"passed","Sun Jun 16 16:46:55 GMT 2024","Sun Jun 16 16:46:55 GMT 2024","304","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Sun Jun 16 16:46:55 GMT 2024","Sun Jun 16 16:46:55 GMT 2024","10","tests.api","test_api_signup","","","","test_should_return_400_if_password_too_short",""
"passed","Sun Jun 16 16:47:18 GMT 2024","Sun Jun 16 16:47:18 GMT 2024","44","tests.ui","test_home","","","","test_successful_login",""
"passed","Sun Jun 16 16:47:20 GMT 2024","Sun Jun 16 16:47:21 GMT 2024","688","tests.ui","test_login","","","","test_failed_login",""
"passed","Sun Jun 16 16:46:54 GMT 2024","Sun Jun 16 16:46:54 GMT 2024","758","tests.api","test_api_login","","","","test_successful_api_login",""
"failed","Sun Jun 16 16:46:56 GMT 2024","Sun Jun 16 16:46:56 GMT 2024","12","tests.api","test_api_signup","","","","test_should_return_400_if_invalid_role",""
"passed","Sun Jun 16 16:47:10 GMT 2024","Sun Jun 16 16:47:11 GMT 2024","690","tests","test_login","","","","test_failed_login",""
"passed","Sun Jun 16 16:47:19 GMT 2024","Sun Jun 16 16:47:19 GMT 2024","688","tests.ui","test_login","","","","test_successful_login",""
"passed","Sun Jun 16 16:47:21 GMT 2024","Sun Jun 16 16:47:22 GMT 2024","866","tests.ui","test_register","","","","test_successful_registration_and_login",""
"passed","Sun Jun 16 16:46:56 GMT 2024","Sun Jun 16 16:46:56 GMT 2024","46","tests.api","test_get_users","","","","test_successful_get_users",""
"passed","Sun Jun 16 16:47:08 GMT 2024","Sun Jun 16 16:47:10 GMT 2024","1195","tests","test_login","","","","test_successful_login",""
"passed","Sun Jun 16 16:46:56 GMT 2024","Sun Jun 16 16:46:56 GMT 2024","10","tests.api","test_get_users","","","","test_get_users_no_auth_header",""
